run,step,agent,model,input_tokens,output_tokens,total_tokens,latency_seconds,ttft_seconds,cost
Normal run,strategist,strategist,qwen3:4b-instruct,896,1950,2846,33.083,7.395,0
Normal run,copywriter,copywriter,qwen3:4b-instruct,4165,608,4773,14.197,5.544,0
Normal run,editor,editor,qwen3:4b-instruct,4503,1253,5756,24.21,6.163,0
Normal run,copywriter #2,copywriter,qwen3:4b-instruct,6163,689,6852,15.469,5.081,0
Normal run,editor #2,editor,qwen3:4b-instruct,4585,222,4807,5.441,2.185,0
Normal run,publisher,publisher,qwen3:4b-instruct,1084,235,1319,4.447,1.369,0
Controlled revision run,strategist,strategist,qwen3:4b-instruct,896,1964,2860,47.909,20.489,0
Controlled revision run,copywriter,copywriter,qwen3:4b-instruct,4201,551,4752,14.49,5.97,0
Controlled revision run,editor,editor,qwen3:4b-instruct,4460,725,5185,15.481,4.645,0
Controlled revision run,copywriter #2,copywriter,qwen3:4b-instruct,5614,544,6158,12.701,4.247,0
Controlled revision run,editor #2,editor,qwen3:4b-instruct,4454,341,4795,6.8,1.606,0
Controlled revision run,publisher,publisher,qwen3:4b-instruct,939,194,1133,3.756,1.262,0
